ticket_id,created_at,customer_id,department,device_type,os,browser,network_type,historical_tickets,sla_hours,resolution_time_hours,title,description,image_path,image_width,image_height,priority,status,assigned_team,has_attachment,sentiment_score,num_words,latitude,longitude,target_category,city,num_images,state
16,2025-01-01T04:32:00,6974,TI,Mobile,Linux,Chrome,4G,35,24,20,O usuário relatou que o placa de vídeo reinicia sozinho dura...,O usuário relatou que o placa de vídeo reinicia sozinho durante o salvamento.,images/motherboard.png,612,408,Alta,Aberto,Aplicações,0,-0.641,6,-25.271987,-49.02404,Hardware,Santos,2.0,RJ
17,2025-01-01T04:49:00,2771,RH,Desktop,Linux,Safari,4G,19,8,29,Problema de conectividade: desliga durante exportar dados.,Problema de conectividade: desliga durante exportar dados.,images/default_network.png,500,333,Média,Em andamento,Infra,1,0.729,3,-29.972507,-48.056884,Rede,São Paulo,2.0,PR
18,2025-01-01T05:06:00,5279,Operações,Desktop,Windows,Safari,4G,20,24,66,O notebook apresenta congela e perda de dados.,O notebook apresenta congela e perda de dados.,images/default_hardware.png,612,407,Baixa,Fechado,N2,1,-0.911,6,-33.781565,-43.936806,Hardware,Belo Horizonte,3.0,MG
19,2025-01-01T05:23:00,2146,Financeiro,Mobile,Windows,Edge,4G,26,12,52,"Rede instável, falha ao acessar servidor de arquivos.","Rede instável, falha ao acessar servidor de arquivos.",images/network.png,500,342,Crítica,Aberto,Aplicações,1,0.355,3,-27.090887,-50.120596,Rede,Belo Horizonte,1.0,MG
20,2025-01-01T05:40:00,4443,RH,Mobile,Android,Safari,5G,28,8,66,"Rede instável, falha ao acessar VPN.","Rede instável, falha ao acessar VPN.",images/vpn.png,500,333,Alta,Fechado,N1,1,0.031,7,-32.78208,-43.675203,Rede,Belo Horizonte,2.0,RS
21,2025-01-01T05:57:00,4680,Operações,Desktop,Linux,Safari,WiFi,29,24,25,Falha no sistema de ponto ao tentar exportar dados.,Falha no sistema de ponto ao tentar exportar dados.,images/payroll.png,612,408,Alta,Em andamento,N2,0,0.312,3,-24.070008,-44.581638,RH,Campinas,0.0,SP
22,2025-01-01T06:14:00,3881,RH,Desktop,Windows,Safari,Cabo,29,48,72,O acesso ao sistema de ponto está bloqueado por não funciona...,O acesso ao sistema de ponto está bloqueado por não funciona.,images/access_denied.png,612,408,Média,Fechado,Aplicações,1,0.794,6,-28.89424,-45.65741,Acesso,São Paulo,3.0,RS
23,2025-01-01T06:31:00,4919,Financeiro,Mobile,Android,Firefox,4G,21,12,70,Falha no sistema financeiro: superaquece ao abrir documento.,Falha no sistema financeiro: superaquece ao abrir documento.,images/finance_report.png,738,414,Crítica,Aberto,N2,1,0.388,5,-33.099906,-49.064766,Financeiro,Curitiba,1.0,SP
24,2025-01-01T06:48:00,4388,RH,Mobile,Windows,Safari,5G,0,12,39,O usuário não consegue fazer login devido a falha.,O usuário não consegue fazer login devido a falha.,images/login.png,500,333,Baixa,Fechado,N2,1,-0.561,4,-28.506502,-49.250314,Acesso,Curitiba,3.0,RS
25,2025-01-01T07:05:00,8657,Operações,Desktop,iOS,Chrome,WiFi,27,8,60,O sistema de RH não está reinicia sozinho para gerar relatór...,O sistema de RH não está reinicia sozinho para gerar relatório.,images/finance_report.png,738,414,Média,Em andamento,Aplicações,1,-0.577,5,-30.121244,-44.391564,RH,Belo Horizonte,2.0,RS
26,2025-01-01T07:22:00,2341,RH,Mobile,Windows,Edge,Cabo,4,4,4,Falha de autenticação ao tentar importar dados.,Falha de autenticação ao tentar importar dados.,images/login.png,500,333,Alta,Aberto,N2,0,-0.748,5,-27.652732,-50.942151,Acesso,São Paulo,0.0,BA
27,2025-01-01T07:39:00,2876,Operações,Mobile,Windows,Edge,5G,25,8,10,Problema de conectividade: superaquece durante enviar email.,Problema de conectividade: superaquece durante enviar email.,images/email.png,500,333,Média,Fechado,Infra,0,0.592,5,-30.015479,-48.859058,Rede,Santos,0.0,SP
28,2025-01-01T07:56:00,1207,RH,Notebook,Android,Safari,Cabo,27,8,67,O SSD apresenta não liga e perda de dados.,O SSD apresenta não liga e perda de dados.,images/hard_drive.png,500,334,Alta,Em andamento,Aplicações,1,-0.355,6,-24.745032,-52.242037,Hardware,Curitiba,1.0,SP
29,2025-01-01T08:13:00,7209,Financeiro,Notebook,Linux,Safari,Cabo,22,12,44,Falha no SAP: falha ao tentar fazer login.,Falha no SAP: falha ao tentar fazer login.,images/sap_erp.png,612,344,Crítica,Fechado,N1,0,-0.829,4,-28.474501,-45.59417,Software,São Paulo,3.0,PR
30,2025-01-01T08:30:00,8342,TI,Desktop,iOS,Firefox,4G,37,12,61,Falha no sistema de ponto ao tentar gerar relatório.,Falha no sistema de ponto ao tentar gerar relatório.,images/payroll.png,612,408,Crítica,Fechado,Infra,1,0.406,4,-30.457809,-50.817673,RH,São Paulo,2.0,MG
31,2025-01-01T08:47:00,9779,Operações,Mobile,iOS,Edge,4G,6,8,38,Falha de rede: sem resposta ao tentar fazer login.,Falha de rede: sem resposta ao tentar fazer login.,images/network.png,500,342,Baixa,Aberto,Infra,0,0.416,3,-30.810007,-43.45448,Rede,Campinas,1.0,RJ
32,2025-01-01T09:04:00,9042,TI,Notebook,iOS,Safari,5G,21,8,7,Falha no sistema de folha ao tentar importar dados.,Falha no sistema de folha ao tentar importar dados.,images/payroll.png,612,408,Média,Aberto,N1,1,-0.017,5,-32.146176,-45.069693,RH,São Paulo,0.0,RS
33,2025-01-01T09:21:00,2940,RH,Mobile,Linux,Safari,5G,28,12,55,Problema de hardware: o computador reinicia sozinho inespera...,Problema de hardware: o computador reinicia sozinho inesperadamente.,images/default_hardware.png,612,407,Média,Fechado,N1,0,0.251,5,-26.601333,-51.545135,Hardware,Belo Horizonte,2.0,RS
34,2025-01-01T09:38:00,3564,TI,Mobile,iOS,Edge,WiFi,14,12,37,O Módulo de notas fiscais exibe tela piscando ao gerar relat...,O Módulo de notas fiscais exibe tela piscando ao gerar relatório.,images/finance_report.png,738,414,Baixa,Fechado,N2,1,0.576,6,-29.165985,-47.708832,Financeiro,Curitiba,1.0,PR
35,2025-01-01T09:55:00,2169,TI,Mobile,Android,Safari,WiFi,29,12,52,Problema de conectividade: congela durante exportar dados.,Problema de conectividade: congela durante exportar dados.,images/default_network.png,500,333,Média,Em andamento,N1,0,0.779,6,-27.219521,-52.843938,Rede,Campinas,2.0,MG
36,2025-01-01T10:12:00,5415,TI,Mobile,iOS,Edge,Cabo,37,24,63,O portal do funcionário apresenta mensagem de erro durante i...,O portal do funcionário apresenta mensagem de erro durante importar dados.,images/hr_portal.png,323,619,Baixa,Em andamento,Aplicações,1,-0.358,3,-24.450709,-49.834944,RH,Campinas,0.0,PR
37,2025-01-01T10:29:00,1601,RH,Notebook,Android,Chrome,5G,32,4,70,O acesso à aplicação web falha com falha.,O acesso à aplicação web falha com falha.,images/default_network.png,500,333,Crítica,Aberto,N2,1,0.245,4,-26.983045,-45.576094,Rede,São Paulo,3.0,MG
38,2025-01-01T10:46:00,5719,RH,Desktop,Linux,Firefox,4G,35,4,71,Falha de rede: ruído ao tentar executar consulta.,Falha de rede: ruído ao tentar executar consulta.,images/network.png,500,342,Média,Aberto,N1,1,0.894,3,-28.367707,-46.005627,Rede,Curitiba,1.0,SP
39,2025-01-01T11:03:00,8736,Operações,Desktop,iOS,Firefox,Cabo,4,12,54,O usuário não consegue executar consulta devido a não funcio...,O usuário não consegue executar consulta devido a não funciona.,images/finance_report.png,738,414,Crítica,Aberto,Infra,1,0.675,5,-24.36866,-48.679181,Acesso,Curitiba,3.0,RS
40,2025-01-01T11:20:00,9903,RH,Desktop,Linux,Safari,Cabo,26,4,41,A conexão de rede está fica lento e cheiro de queimado.,A conexão de rede está fica lento e cheiro de queimado.,images/network.png,500,342,Alta,Em andamento,N2,1,0.93,4,-28.325026,-47.257214,Rede,Curitiba,1.0,MG
41,2025-01-01T11:37:00,9617,RH,Desktop,iOS,Firefox,WiFi,30,12,44,O usuário não consegue enviar email devido a emite beep.,O usuário não consegue enviar email devido a emite beep.,images/email.png,500,333,Baixa,Em andamento,Aplicações,1,0.254,6,-24.291025,-52.744599,Acesso,São Paulo,3.0,BA
42,2025-01-01T11:54:00,4727,TI,Mobile,Windows,Safari,Cabo,19,4,6,O sistema Sistema ERP exibe apresenta erro ao abrir document...,O sistema Sistema ERP exibe apresenta erro ao abrir documento.,images/sap_erp.png,612,344,Alta,Em andamento,Infra,1,-0.139,6,-28.010287,-47.497312,Software,Curitiba,1.0,SP
43,2025-01-01T12:11:00,2293,RH,Desktop,iOS,Firefox,Cabo,29,12,59,Erro de runtime no Sistema de Notas Fiscais durante a salvar...,Erro de runtime no Sistema de Notas Fiscais durante a salvar arquivo.,images/default_software.png,612,344,Média,Em andamento,Infra,0,-0.852,6,-23.034597,-50.138373,Software,Belo Horizonte,2.0,BA
44,2025-01-01T12:28:00,8484,Financeiro,Notebook,Windows,Firefox,5G,36,12,38,Erro no sistema de RH: não funciona ao fazer login.,Erro no sistema de RH: não funciona ao fazer login.,images/login.png,500,333,Alta,Fechado,Aplicações,1,-0.984,5,-23.874275,-45.722796,RH,Campinas,0.0,PR
45,2025-01-01T12:45:00,4588,Operações,Mobile,Linux,Chrome,WiFi,19,24,5,O sistema Word exibe desliga ao abrir documento.,O sistema Word exibe desliga ao abrir documento.,images/office.png,500,333,Alta,Aberto,Infra,1,0.495,5,-31.611337,-45.313523,Software,Belo Horizonte,1.0,MG
46,2025-01-01T13:02:00,3695,Financeiro,Mobile,Android,Chrome,5G,4,8,29,O módulo financeiro não funciona ao gerar relatório.,O módulo financeiro não funciona ao gerar relatório.,images/finance_report.png,738,414,Alta,Aberto,Aplicações,0,-0.471,6,-28.842832,-46.438999,Financeiro,Curitiba,0.0,MG
47,2025-01-01T13:19:00,7086,TI,Desktop,Android,Firefox,WiFi,40,24,39,Relatório financeiro não reinicia sozinho corretamente.,Relatório financeiro não reinicia sozinho corretamente.,images/finance_report.png,738,414,Crítica,Aberto,N1,0,-0.391,5,-32.534287,-50.77548,Financeiro,Campinas,3.0,PR
48,2025-01-01T13:36:00,7078,RH,Mobile,Linux,Safari,WiFi,31,48,53,O usuário não consegue imprimir devido a desliga.,O usuário não consegue imprimir devido a desliga.,images/default_access.png,191,165,Crítica,Fechado,Infra,0,-0.113,6,-24.475593,-52.116389,Acesso,Belo Horizonte,1.0,BA
49,2025-01-01T13:53:00,1992,RH,Desktop,iOS,Chrome,Cabo,40,48,3,O SAP exibe cheiro de queimado ao gerar relatório.,O SAP exibe cheiro de queimado ao gerar relatório.,images/sap_erp.png,612,344,Alta,Aberto,N2,0,-0.863,6,-27.408424,-45.050775,Financeiro,Santos,1.0,RJ
50,2025-01-01T14:10:00,1046,Financeiro,Mobile,Android,Firefox,WiFi,1,8,2,Problema de conectividade: reinicia sozinho durante imprimir...,Problema de conectividade: reinicia sozinho durante imprimir.,images/default_network.png,500,333,Média,Fechado,Infra,0,-0.652,3,-32.418332,-48.93249,Rede,Campinas,0.0,RJ
51,2025-01-01T14:27:00,8802,RH,Mobile,Windows,Safari,Cabo,39,4,67,O usuário não consegue imprimir devido a emite beep.,O usuário não consegue imprimir devido a emite beep.,images/default_hr.png,612,408,Baixa,Fechado,N1,0,0.997,6,-29.153618,-52.031178,RH,Santos,3.0,RS
52,2025-01-01T14:44:00,6277,Operações,Notebook,Android,Safari,4G,29,48,56,Problema de hardware: o monitor superaquece inesperadamente.,Problema de hardware: o monitor superaquece inesperadamente.,images/monitor.png,500,394,Baixa,Fechado,N2,1,-0.097,4,-29.289432,-44.90855,Hardware,São Paulo,1.0,RJ
53,2025-01-01T15:01:00,6120,RH,Notebook,Android,Firefox,5G,4,4,11,Falha de autenticação ao tentar importar dados.,Falha de autenticação ao tentar importar dados.,images/login.png,500,333,Baixa,Aberto,Infra,0,0.113,5,-26.496855,-49.032995,Acesso,Santos,2.0,BA
54,2025-01-01T15:18:00,5712,Financeiro,Mobile,Linux,Firefox,5G,14,4,45,Erro no sistema de RH: não liga ao executar consulta.,Erro no sistema de RH: não liga ao executar consulta.,images/finance_report.png,738,414,Baixa,Em andamento,N2,1,0.69,5,-27.161955,-46.587471,RH,Santos,0.0,SP
55,2025-01-01T15:35:00,5477,Financeiro,Desktop,Linux,Firefox,5G,4,8,4,Problema de hardware: o fonte emite beep inesperadamente.,Problema de hardware: o fonte emite beep inesperadamente.,images/power_supply.png,500,375,Média,Em andamento,Aplicações,1,-0.318,5,-30.403153,-49.888609,Hardware,Santos,2.0,MG
56,2025-01-01T15:52:00,3579,TI,Notebook,iOS,Safari,5G,26,12,28,O placa de vídeo apresenta superaquece e tela piscando.,O placa de vídeo apresenta superaquece e tela piscando.,images/motherboard.png,612,408,Média,Em andamento,N1,1,0.356,6,-28.056418,-50.046648,Hardware,São Paulo,3.0,MG
57,2025-01-01T16:09:00,1125,Operações,Desktop,Android,Edge,4G,7,4,64,Falha de autenticação ao tentar executar consulta.,Falha de autenticação ao tentar executar consulta.,images/login.png,500,333,Baixa,Aberto,Aplicações,0,0.001,3,-33.014377,-44.568533,Acesso,Santos,2.0,RJ
58,2025-01-01T16:26:00,8532,TI,Notebook,iOS,Safari,4G,7,24,3,O acesso ao sistema de recrutamento está bloqueado por não l...,O acesso ao sistema de recrutamento está bloqueado por não liga.,images/access_denied.png,612,408,Baixa,Fechado,Aplicações,1,-0.824,7,-31.14785,-47.270174,Acesso,Santos,0.0,RS
59,2025-01-01T16:43:00,6562,Operações,Desktop,Windows,Firefox,4G,22,8,31,O acesso ao sistema de ponto está bloqueado por falha.,O acesso ao sistema de ponto está bloqueado por falha.,images/access_denied.png,612,408,Alta,Em andamento,N2,0,0.205,6,-31.869107,-45.448804,Acesso,Santos,0.0,RJ
60,2025-01-01T17:00:00,6295,Financeiro,Desktop,iOS,Safari,4G,17,48,8,Falha de autenticação ao tentar abrir documento.,Falha de autenticação ao tentar abrir documento.,images/login.png,500,333,Crítica,Em andamento,Aplicações,1,-0.925,4,-24.734507,-52.340363,Acesso,Campinas,2.0,PR
61,2025-01-01T17:17:00,8581,TI,Mobile,Linux,Edge,5G,32,8,8,O módulo financeiro congela ao gerar relatório.,O módulo financeiro congela ao gerar relatório.,images/finance_report.png,738,414,Crítica,Em andamento,N1,0,-0.922,6,-22.998252,-47.911721,Financeiro,Curitiba,3.0,RS
62,2025-01-01T17:34:00,5634,RH,Mobile,Windows,Edge,WiFi,21,4,72,O acesso à internet falha com não funciona.,O acesso à internet falha com não funciona.,images/default_network.png,500,333,Alta,Em andamento,N2,1,-0.837,6,-23.807464,-50.028706,Rede,Curitiba,1.0,MG
63,2025-01-01T17:51:00,6072,RH,Mobile,Windows,Safari,4G,1,12,40,Falha no Word: não liga ao tentar importar dados.,Falha no Word: não liga ao tentar importar dados.,images/office.png,500,333,Baixa,Em andamento,Aplicações,0,-0.547,5,-32.111098,-50.171658,Software,Santos,1.0,RJ
64,2025-01-01T18:08:00,6517,Operações,Desktop,Linux,Firefox,Cabo,28,4,53,Erro no Módulo de notas fiscais durante gerar relatório.,Erro no Módulo de notas fiscais durante gerar relatório.,images/finance_report.png,738,414,Baixa,Em andamento,Infra,1,-0.532,6,-30.4268,-45.094624,Financeiro,Belo Horizonte,1.0,PR
65,2025-01-01T18:25:00,8218,RH,Mobile,iOS,Firefox,Cabo,38,8,33,O sistema SAP exibe superaquece ao executar consulta.,O sistema SAP exibe superaquece ao executar consulta.,images/sap_erp.png,612,344,Alta,Em andamento,N1,0,-0.43,4,-30.826575,-44.137469,Software,Santos,1.0,PR
66,2025-01-01T18:42:00,4637,RH,Notebook,Windows,Safari,4G,15,24,11,O acesso ao sistema de recrutamento está bloqueado por conge...,O acesso ao sistema de recrutamento está bloqueado por congela.,images/access_denied.png,612,408,Baixa,Aberto,Infra,0,0.678,6,-25.173951,-51.737764,Acesso,Santos,2.0,SP
67,2025-01-01T18:59:00,8685,RH,Desktop,Windows,Edge,Cabo,9,48,68,O usuário não consegue imprimir devido a reinicia sozinho.,O usuário não consegue imprimir devido a reinicia sozinho.,images/default_access.png,191,165,Média,Em andamento,N2,1,-0.756,5,-29.223902,-45.240399,Acesso,Belo Horizonte,1.0,SP
68,2025-01-01T19:16:00,9189,TI,Desktop,Linux,Edge,5G,0,48,46,O computador não responde e exibe cheiro de queimado.,O computador não responde e exibe cheiro de queimado.,images/default_hardware.png,612,407,Baixa,Aberto,N1,1,-0.865,4,-29.544054,-48.445663,Hardware,Belo Horizonte,0.0,RS
69,2025-01-01T19:33:00,1266,Financeiro,Desktop,Windows,Edge,Cabo,2,12,70,O acesso à internet falha com emite beep.,O acesso à internet falha com emite beep.,images/default_network.png,500,333,Alta,Fechado,Aplicações,1,0.263,5,-33.112204,-45.415715,Rede,São Paulo,1.0,MG
70,2025-01-01T19:50:00,4302,TI,Notebook,Android,Safari,5G,16,4,25,Problema de hardware: o HD reinicia sozinho inesperadamente.,Problema de hardware: o HD reinicia sozinho inesperadamente.,images/hard_drive.png,500,334,Alta,Aberto,Infra,1,-0.751,4,-29.03723,-49.139784,Hardware,Campinas,2.0,SP
71,2025-01-01T20:07:00,4060,RH,Mobile,Android,Chrome,5G,5,24,24,O acesso ao sistema de folha está bloqueado por reinicia soz...,O acesso ao sistema de folha está bloqueado por reinicia sozinho.,images/access_denied.png,612,408,Alta,Aberto,N1,1,0.322,4,-28.939518,-45.995137,Acesso,Curitiba,2.0,MG
72,2025-01-01T20:24:00,6759,RH,Notebook,iOS,Edge,WiFi,4,24,47,Erro no sistema de RH: falha ao fazer login.,Erro no sistema de RH: falha ao fazer login.,images/login.png,500,333,Crítica,Aberto,Aplicações,0,-0.748,6,-25.314182,-49.473348,RH,São Paulo,1.0,BA
73,2025-01-01T20:41:00,3513,RH,Notebook,Windows,Firefox,4G,25,12,36,O módulo financeiro falha ao exportar dados.,O módulo financeiro falha ao exportar dados.,images/finance_report.png,738,414,Baixa,Aberto,N2,1,0.035,5,-30.946634,-50.523131,Financeiro,Santos,0.0,MG
74,2025-01-01T20:58:00,9047,Operações,Desktop,iOS,Firefox,5G,5,12,45,Falha no Sistema ERP: desliga ao tentar enviar email.,Falha no Sistema ERP: desliga ao tentar enviar email.,images/sap_erp.png,612,344,Alta,Em andamento,N2,0,0.587,4,-32.477149,-51.110294,Software,São Paulo,1.0,RJ
75,2025-01-01T21:15:00,1430,Financeiro,Notebook,iOS,Firefox,WiFi,4,12,51,O aplicativo Sistema de Notas Fiscais fecha inesperadamente ...,O aplicativo Sistema de Notas Fiscais fecha inesperadamente quando executar consulta.,images/finance_report.png,738,414,Crítica,Em andamento,N1,0,0.945,6,-28.895278,-46.366921,Software,Belo Horizonte,0.0,RS
76,2025-01-01T21:32:00,3114,RH,Desktop,Linux,Edge,Cabo,10,12,29,Erro de compilação no Word durante a enviar email.,Erro de compilação no Word durante a enviar email.,images/office.png,500,333,Média,Aberto,Infra,0,0.27,6,-32.435644,-50.102036,Software,Belo Horizonte,2.0,SP
77,2025-01-01T21:49:00,3526,Operações,Mobile,Android,Chrome,WiFi,5,4,34,O ERP exibe cheiro de queimado ao gerar relatório.,O ERP exibe cheiro de queimado ao gerar relatório.,images/sap_erp.png,612,344,Média,Fechado,N1,1,0.778,6,-26.803211,-50.109268,Financeiro,Belo Horizonte,2.0,BA
78,2025-01-01T22:06:00,5873,RH,Desktop,Linux,Safari,5G,30,24,27,O sistema de folha apresenta sem resposta durante gerar rela...,O sistema de folha apresenta sem resposta durante gerar relatório.,images/payroll.png,612,408,Crítica,Em andamento,Infra,1,0.951,3,-25.508752,-48.001697,RH,São Paulo,1.0,BA
79,2025-01-01T22:23:00,8642,TI,Desktop,Linux,Chrome,WiFi,18,24,54,A conexão de rede está não funciona e tela preta.,A conexão de rede está não funciona e tela preta.,images/network.png,500,342,Média,Em andamento,Infra,0,0.526,6,-22.943933,-48.47853,Rede,Santos,3.0,PR
80,2025-01-01T22:40:00,2475,RH,Desktop,Linux,Edge,WiFi,3,12,64,O acesso ao sistema de folha está bloqueado por superaquece.,O acesso ao sistema de folha está bloqueado por superaquece.,images/access_denied.png,612,408,Baixa,Fechado,N1,0,-0.138,5,-25.870162,-45.537818,Acesso,Belo Horizonte,2.0,PR
81,2025-01-01T22:57:00,1838,Operações,Notebook,Windows,Safari,5G,35,12,16,Problema de hardware: o SSD falha inesperadamente.,Problema de hardware: o SSD falha inesperadamente.,images/hard_drive.png,500,334,Crítica,Em andamento,Infra,1,0.116,6,-25.57088,-51.129327,Hardware,Santos,2.0,RS
82,2025-01-01T23:14:00,1742,TI,Notebook,iOS,Safari,Cabo,38,48,18,Falha no sistema financeiro: congela ao imprimir.,Falha no sistema financeiro: congela ao imprimir.,images/finance_report.png,738,414,Baixa,Aberto,Aplicações,1,0.187,5,-26.074736,-50.132073,Financeiro,Campinas,3.0,BA
83,2025-01-01T23:31:00,2795,RH,Mobile,Windows,Safari,4G,37,48,30,"Rede instável, congela ao acessar internet.","Rede instável, congela ao acessar internet.",images/network.png,500,342,Alta,Aberto,Aplicações,0,0.643,7,-33.455881,-43.712769,Rede,Belo Horizonte,1.0,MG
84,2025-01-01T23:48:00,8225,Financeiro,Notebook,Linux,Safari,5G,3,8,67,Erro de memória no Email durante a fazer login.,Erro de memória no Email durante a fazer login.,images/email.png,500,333,Baixa,Fechado,Aplicações,1,-0.372,6,-28.789668,-47.822042,Software,Curitiba,1.0,RJ
85,2025-01-02T00:05:00,8932,Operações,Mobile,Android,Firefox,4G,18,8,63,Erro no sistema de RH: superaquece ao imprimir.,Erro no sistema de RH: superaquece ao imprimir.,images/default_hr.png,612,408,Alta,Em andamento,Infra,1,-0.756,6,-24.036211,-49.194129,RH,Campinas,3.0,MG
86,2025-01-02T00:22:00,1689,Financeiro,Notebook,Android,Safari,Cabo,12,48,35,Erro de permissão no Sistema de Notas Fiscais durante a expo...,Erro de permissão no Sistema de Notas Fiscais durante a exportar dados.,images/access_denied.png,612,408,Alta,Aberto,N2,0,-0.898,6,-26.846404,-52.580338,Software,São Paulo,1.0,MG
87,2025-01-02T00:39:00,2647,Operações,Desktop,iOS,Safari,5G,12,12,42,"Rede instável, congela ao acessar aplicação web.","Rede instável, congela ao acessar aplicação web.",images/network.png,500,342,Crítica,Aberto,N2,0,0.826,5,-29.245054,-44.807712,Rede,São Paulo,1.0,RS
88,2025-01-02T00:56:00,4052,Financeiro,Notebook,Windows,Edge,4G,29,48,68,O acesso ao portal do funcionário está bloqueado por reinici...,O acesso ao portal do funcionário está bloqueado por reinicia sozinho.,images/access_denied.png,612,408,Crítica,Fechado,Aplicações,1,-0.614,7,-30.195543,-45.86192,Acesso,São Paulo,0.0,SP
